fight_key,fighter,opponent,event_date,weight_class,method,finish_round,finish_time,scraped_at,is_decision,is_ko_tko,is_submission,kd_avg_3,kd_sum_3,sig_landed_avg_3,sig_landed_sum_3,sig_attempted_avg_3,sig_attempted_sum_3,sig_pct_avg_3,sig_pct_sum_3,tot_landed_avg_3,tot_landed_sum_3,tot_attempted_avg_3,tot_attempted_sum_3,td_landed_avg_3,td_landed_sum_3,td_attempted_avg_3,td_attempted_sum_3,td_pct_avg_3,td_pct_sum_3,sub_attempts_avg_3,sub_attempts_sum_3,passes_avg_3,passes_sum_3,reversals_avg_3,reversals_sum_3,head_landed_avg_3,head_landed_sum_3,head_attempted_avg_3,head_attempted_sum_3,body_landed_avg_3,body_landed_sum_3,body_attempted_avg_3,body_attempted_sum_3,leg_landed_avg_3,leg_landed_sum_3,leg_attempted_avg_3,leg_attempted_sum_3,dist_landed_avg_3,dist_landed_sum_3,dist_attempted_avg_3,dist_attempted_sum_3,clinch_landed_avg_3,clinch_landed_sum_3,clinch_attempted_avg_3,clinch_attempted_sum_3,ground_landed_avg_3,ground_landed_sum_3,ground_attempted_avg_3,ground_attempted_sum_3,opp_kd_avg_3,opp_kd_sum_3,opp_sig_landed_avg_3,opp_sig_landed_sum_3,opp_sig_attempted_avg_3,opp_sig_attempted_sum_3,opp_td_landed_avg_3,opp_td_landed_sum_3,opp_td_attempted_avg_3,opp_td_attempted_sum_3,opp_sub_attempts_avg_3,opp_sub_attempts_sum_3,opp_passes_avg_3,opp_passes_sum_3,opp_reversals_avg_3,opp_reversals_sum_3
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|volkan-oezdemir-v-alonzo-menifield,Alonzo Menifield,Volkan Oezdemir,,Heavyweight,KO/TKO,1,1:27,2026-03-01 02:40:22,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|jack-hermansson-v-myktybek-orolbai,Jack Hermansson,Myktybek Orolbai,,Welterweight,KO/TKO,1,2:46,2026-03-01 02:40:25,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|jack-hermansson-v-myktybek-orolbai,Myktybek Orolbai,Jack Hermansson,,Welterweight,KO/TKO,1,2:46,2026-03-01 02:40:25,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|waldo-cortes-acosta-v-shamil-gaziev,Waldo Cortes Acosta,Shamil Gaziev,,Heavyweight,KO/TKO,1,1:22,2026-03-01 02:40:27,0,1,0,1.0,1.0,44.0,44.0,62.0,62.0,70.97,70.97,46.0,46.0,64.0,64.0,1.0,1.0,1.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,53.0,53.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,27.0,27.0,45.0,45.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,16.0,0.0,0.0,8.0,8.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|waldo-cortes-acosta-v-shamil-gaziev,Shamil Gaziev,Waldo Cortes Acosta,,Heavyweight,KO/TKO,1,1:22,2026-03-01 02:40:27,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|bogdan-grad-v-luke-riley,Bogdan Grad,Luke Riley,,Featherweight,KO/TKO,2,0:30,2026-03-01 02:40:32,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|bogdan-grad-v-luke-riley,Luke Riley,Bogdan Grad,,Featherweight,KO/TKO,2,0:30,2026-03-01 02:40:32,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|nicolas-dalby-v-saygid-izagakhmaev,Nicolas Dalby,Saygid Izagakhmaev,,Welterweight,Decision - Split,3,5:00,2026-03-01 02:40:35,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|nicolas-dalby-v-saygid-izagakhmaev,Saygid Izagakhmaev,Nicolas Dalby,,Welterweight,Decision - Split,3,5:00,2026-03-01 02:40:35,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|alex-perez-v-asu-almabayev,Alex Perez,Asu Almabayev,,Flyweight,Submission,3,0:22,2026-03-01 02:40:38,0,0,1,2.0,2.0,39.0,39.0,75.0,75.0,52.0,52.0,55.0,55.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,27.0,27.0,60.0,60.0,9.0,9.0,10.0,10.0,3.0,3.0,5.0,5.0,33.0,33.0,67.0,67.0,4.0,4.0,6.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,8.0,8.0,25.0,25.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0
